TRIP_ID,EVENT_ID,FE_MAJOR_LEVEL_ID,MEAN_TEMPERATURE
82930,4452502,1,8.980246914
83530,4538883,1,9
82870,4363853,1,8.4
82994,4452571,1,8.1
83411,4538385,1,8.4
84270,4563848,1,6.723333333
84450,4590266,1,7.5
82851,4363810,1,9.8
83050,4536261,1,9.166292135
84431,4590258,1,8.8
82872,4363900,1,9.4
83010,4452605,1,8.3
83090,4536327,1,8.011206897
84190,4546090,1,6.320325203
84330,4564078,1,9.007692308
84410,4590166,1,7.221052632
84451,4590283,1,7.098550725
84410,4590167,2,7.121621622
82872,4363899,2,9.464615385
84450,4590267,2,7.398333333
84431,4590247,2,8.8
82994,4452577,2,9.168253968
83411,4538384,2,8.471544715
84451,4590284,2,7.051351351
84190,4546091,2,6.307936508
82851,4363808,2,9.7
83010,4452606,2,8.39375
83050,4536258,2,8.685526316
83090,4536326,2,8.003305785
83530,4538884,2,9.107575758
84270,4563847,2,6.459459459
82930,4452485,2,9.406
82870,4363851,2,8.5
84330,4564079,2,9.206666667
82870,4363857,3,7.920895522
82872,4363898,3,9.3
83010,4452620,3,8.2
83090,4536324,3,8.007936508
83411,4538382,3,8.695967742
83050,4536268,3,7.8
84270,4563849,3,6.423529412
84431,4590260,3,8.998360656
84450,4590268,3,7.4
84190,4546096,3,6.307228916
84451,4590287,3,7.133333333
84330,4564081,3,8.622222222
84410,4590168,3,7.14047619
82994,4452578,3,8.2
82930,4452503,3,8.726956522
82851,4363805,3,9.506306306
83530,4538885,3,9.05625
82851,4363807,4,9.709859155
84410,4590170,4,6.913513514
83530,4538887,4,8.720967742
84270,4563850,4,6.502777778
83411,4538380,4,8.617094017
82930,4452486,4,8.574166667
84431,4590259,4,8.9
84451,4590288,4,7.1
84190,4546095,4,6.3
83090,4536332,4,8
83010,4452610,4,7.986764706
82994,4452572,4,8.4625
83050,4536267,4,7.8
82872,4363896,4,9.62
82870,4363856,4,7.800833333
84330,4564083,4,8.742857143
84450,4590265,4,7.495454545
84450,4590282,5,7.6
84451,4590294,5,7.131746032
84330,4564085,5,8.505405405
83050,4536264,5,9.105555556
83411,4538363,5,8.718181818
82994,4452573,5,8.8875
82872,4363892,5,9.4
82930,4452487,5,8.5
82870,4363858,5,7.962244898
83090,4536329,5,7.6
84270,4563851,5,6.4
84410,4590175,5,7.127027027
83010,4452613,5,8.005084746
83530,4538886,5,9.4
84190,4546092,5,6.4
84431,4590261,5,8.8265625
84451,4590295,6,7.1
83530,4538880,6,9
84410,4590173,6,6.706666667
83010,4452612,6,8.009016393
82930,4452500,6,8.495901639
82994,4452574,6,8.2
84330,4564086,6,8.590909091
82870,4363845,6,8.7
